,date_run,songTitle,authorName,private,duration,album,scheduleSearchTime,numTimesUsed,artist_id,uniqueId,nickname,createTime,verified,secUid,relation,openFavorite,commentSetting,duetSetting,stitchSetting,privateAccount
6952384556943166213,05/04/21,freaks by surf curse,te amo <3,False,10,,0,60000,6917100253968991238,glowstonc,te amo <3,1610513071,False,MS4wLjABAAAADvQ2RvhxtslQQgx7FGM7RbWx-BOTanDLNwGYiyvOIvMu8Cm1QZDujYu1f1Eqq6lu,0,False,0,0,0,False
6889366517616674817,05/04/21,Tierra Mexicana - Instrumental,Banda Tierra Mexicana,False,60,Tierra Mexicana - Instrumental,0,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6586947002464996102,05/04/21,Oh No,Kreepa,False,166,Cold As Ice,0,14700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6936880989784345346,05/04/21,Leave The Door Open,Bruno Mars,False,24,Leave The Door Open,0,1300000,159398380291555328,brunomars,Bruno Mars,1478346261,True,MS4wLjABAAAA06euMtqRvuACJv5KhDdrE3qY5de2t6uDGKt3j0xe5bzqoPk-x1IFhG8gxHAfaxmH,0,False,0,0,0,False
6927137162395749122,05/04/21,Heartbreak Anniversary,GIVĒON,False,35,Heartbreak Anniversary,0,2400000,6878506713541133318,giveon,GIVĒON,1601527256,True,MS4wLjABAAAA7QwKV5tIeRog_OkF2iVZubxetjXJK22mYyBUUAHwAtAUH3Ihe7LM8AWW7Hc7pXrv,0,False,0,0,0,False
6942932967341705990,05/04/21,Huijiii,Claudio Rodriguez,False,8,,0,136800,6876622504631714821,donzoiloyelviejoluis,Claudio Rodriguez,1601059823,False,MS4wLjABAAAAJpbKY59RKJdDZ7W6HP_RqPIeP57W2QfLvUzQk51jK_ifO9b8dAOFmwdcScktkU7G,0,False,0,0,0,False
6936006004631014150,05/04/21,ghost town voice memo (full version out now),chloe george,False,59,,0,648800,21951712,chloegeorgeya,chloe george,1450338977,False,MS4wLjABAAAAiKx2YbkeduehmAqBhYhDJFfW2MJI_5wcY2MAOPUPcn0,0,False,0,0,0,False
6920125567752734722,05/04/21,SugarCrash!,ElyOtto,False,60,SugarCrash!,0,8600000,6613614099156729862,elpunko,ElyOtto,1539888688,True,MS4wLjABAAAAWY4yY8EiuNqbjQP020GBxWFnEoKD29XqGFa22qoPhFYZsQi3qsapegxX57quUhYK,0,False,0,0,1,False
6876131097164450566,05/04/21,Day 'n' Nite,Kid Cudi,False,9,Watch Dogs (Music from the Video Game) [Original Game Soundtrack],0,707900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6775775661198936065,05/04/21,Hope (feat. Demarco),Collie Buddz,False,60,Playback,0,4,6724562356758545413,realcolliebuddz,Collie Buddz,1565655541,True,MS4wLjABAAAAAkNwE7SBa45c9CmJRSrCd69drtFRdZIMYe8yZ7AV7T_4pbM81E_28GmOI6SYkP8n,0,False,0,0,0,False
6942594434632075266,05/04/21,Devil Knows,Armen Paul,False,60,Devil Knows,0,4215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6705081522996643842,05/04/21,Wild Ones (feat. Sia),Flo Rida,False,60,Wild Ones,0,51,69342798163898368,official_flo,Flo Rida,1456904126,True,MS4wLjABAAAA2pXjdQQg-fFC_g2PoIwLCZ0bpsZO-36CTZUlwBvOsbXrl8vR0K9gQ3Ll-V7io9B6,0,False,0,0,0,False
6851608429664929794,05/04/21,Mood (feat. iann dior),24kGoldn,False,30,Mood (feat. iann dior),0,3100000,6640919016947908613,24kgoldn,24kGoldn,1546210432,True,MS4wLjABAAAA5q1LlTxi8WtvhNkinzZgT-n5Xb-Sv3bVbIZiEpmCCS40ZpZwU7-uggAIMCtDNJ-n,0,False,0,0,0,False
6704985044194166786,05/04/21,Way down We Go,KALEO,False,60,Way down We Go,0,275400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6810180997917722626,05/04/21,Taste It,Ikson®,False,60,Taste It,0,515600,279296288188526592,ikson,Ikson®,1506932139,True,MS4wLjABAAAAoefrAQHp6XEDDzVB2NSMLBidJKdZLQ_Nh0dJoEmsP3rEMQzktFI_KqrR1I5_nq0J,0,False,0,0,0,False
6944770499713059590,05/04/21,Vacations - Young (Knock Knock Edit),baka,False,9,,0,241300,6944395560254194693,okbakakaka,baka,1616868142,False,MS4wLjABAAAAbYbceZWVWgilbZJT_uhMkz-biN939O2wqWmE2Y5qJES5usRREiXawiQ6_gFswnrk,0,False,0,1,1,False
6705099804474607618,05/04/21,Level Up,Ciara,False,60,Beauty Marks,0,10800,6673514646345581574,ciara,Ciara,1553798952,True,MS4wLjABAAAAjgXo9I9Xad7cbSWjVREEBcA8omVzXtaiMKtiG_boLhxglbR3L49X-M87tHoQJ1Jt,0,False,0,0,0,False
6876466012233926658,05/04/21,Levitating (feat. DaBaby),Dua Lipa,False,60,Levitating (feat. DaBaby),0,355100,170447429077598208,dualipaofficial,Dua Lipa,1481009400,True,MS4wLjABAAAAJypGod6uEG7eZnTAFQAJCxESeCTznEI8o4tYcRggKlzBZSedv00sXBxqHlYCc2mI,0,False,0,0,0,False
