,soundID,date_run,followingCount,followerCount,heartCount,videoCount,diggCount,heart
6950324036299738373,6777331815179880449,05/04/21,104,1359,18100,61,1012,18100
6947615584469273862,6777331815179880449,05/04/21,0,69300,647400,327,1,647400
6940884387009481985,6777331815179880449,05/04/21,58,2508,9449,71,96,9449
6948483241288420614,6777331815179880449,05/04/21,92,273000,4100000,248,1497,4100000
6953979684761734402,6777331815179880449,05/04/21,346,53500,452200,43,1752,452200
6955619536980774149,6777331815179880449,05/04/21,6190,554400,3000000,136,7713,3000000
6956313649472376070,6777331815179880449,05/04/21,280,15900,18000,42,17600,18000
6923486604770299138,6777331815179880449,05/04/21,247,37400,283200,106,720,283200
6940659834475777286,6777331815179880449,05/04/21,19,43000,737100,40,898,737100
6953678052270329093,6777331815179880449,05/04/21,0,3769,30000,4,10,30000
6958229871378173190,6777331815179880449,05/04/21,1912,185800,3300000,626,9722,3300000
6947512514338884865,6777331815179880449,05/04/21,48,45000,674600,600,4141,674600
6956993978365463813,6777331815179880449,05/04/21,909,141800,3900000,546,3948,3900000
6957769624951819525,6777331815179880449,05/04/21,10,187000,4500000,191,325,4500000
6946615817249361157,6777331815179880449,05/04/21,408,16900,73800,193,1948,73800
6955043467315662085,6777331815179880449,05/04/21,193,602200,22800000,2319,56000,22800000
6921023438404455682,6777331815179880449,05/04/21,247,37400,283200,106,720,283200
6940278017516391686,6777331815179880449,05/04/21,7,362800,9600000,685,102,9600000
6925040359651233030,6925040330622454533,05/04/21,38,6350,130100,28,1806,130100
6943999985935469829,6925040330622454533,05/04/21,4,98200,2000000,14,87,2000000
6956497662719872261,6925040330622454533,05/04/21,1169,1900000,50000000,1144,26000,50000000
6953834123857366278,6925040330622454533,05/04/21,101,192100,6700000,149,12700,6700000
6951981048251174150,6925040330622454533,05/04/21,1160,15400,1600000,186,102600,1600000
6937697417928264966,6925040330622454533,05/04/21,434,8400000,296500000,831,35700,296500000
6945624574432185605,6925040330622454533,05/04/21,137,2500000,81000000,104,23600,81000000
6940371910899354885,6925040330622454533,05/04/21,29,340900,8000000,392,129700,8000000
6942524778515352838,6925040330622454533,05/04/21,268,3200000,46200000,187,4515,46200000
6948824719198014726,6925040330622454533,05/04/21,1105,8962,561900,3,39800,561900
6957850200887135493,6925040330622454533,05/04/21,3,12500,1500000,30,7,1500000
6937652868832955654,6925040330622454533,05/04/21,333,289100,5900000,207,5122,5900000
6947370800659877125,6925040330622454533,05/04/21,1379,8300000,360400000,625,44300,360400000
6952296525083069701,6925040330622454533,05/04/21,3,39900,444900,5,272,444900
6939725500441054470,6925040330622454533,05/04/21,266,612300,28600000,379,18500,28600000
6957209038182501638,6925040330622454533,05/04/21,3,12500,1500000,30,7,1500000
6954183504515042566,6925040330622454533,05/04/21,1609,68200,1300000,92,2911,1300000
6947715050501082373,6925040330622454533,05/04/21,268,3200000,46200000,187,4515,46200000
6954165224974896389,6925040330622454533,05/04/21,3340,10100,1000000,538,63300,1000000
6944423373657099526,6925040330622454533,05/04/21,59,1347,407200,15,593,407200
6952705088213372166,6925040330622454533,05/04/21,131,2489,942500,36,27200,942500
6933317133535350022,6925040330622454533,05/04/21,356,476600,22700000,1914,18200,22700000
6954583489333202182,6925040330622454533,05/04/21,1,193800,12900000,237,23,12900000
6944542899031919878,6925040330622454533,05/04/21,244,7400000,347100000,631,4942,347100000
6936063805592063238,6925040330622454533,05/04/21,527,12500,311300,168,9985,311300
6942919255742532869,6925040330622454533,05/04/21,139,2100000,54500000,425,1135,54500000
6934668466477731077,6925040330622454533,05/04/21,216,35900,1600000,107,16600,1600000
6950381650849107205,6925040330622454533,05/04/21,404,240200,5000000,74,9358,5000000
6944086894569327878,6925040330622454533,05/04/21,127,11700,642500,223,28500,642500
6933341715134680326,6925040330622454533,05/04/21,442,202300,3100000,236,27400,3100000
6945687155813485830,6925040330622454533,05/04/21,1799,263900,3900000,790,11500,3900000
6954926745266998534,6925040330622454533,05/04/21,170,1029,231600,423,6532,231600
6943654597886086406,6925040330622454533,05/04/21,1375,228900,3200000,58,74200,3200000
6952356708911959301,6925040330622454533,05/04/21,990,1363,208800,23,54400,208800
6943316234054225157,6925040330622454533,05/04/21,2429,5613,208600,64,26000,208600
6947383370582084870,6925040330622454533,05/04/21,386,314400,7200000,262,27400,7200000
6938581743721090310,6925040330622454533,05/04/21,66,1400000,40900000,168,2100,40900000
6937052682486172934,6925040330622454533,05/04/21,127,6300000,158800000,495,4756,158800000
6957053592226237701,6925040330622454533,05/04/21,3,12500,1500000,30,7,1500000
6935168632276159749,6925040330622454533,05/04/21,643,90700,1900000,191,7920,1900000
6932335384311368966,6925040330622454533,05/04/21,1856,90000,1900000,123,30700,1900000
6947587455327440134,6925040330622454533,05/04/21,240,111600,4400000,213,88000,4400000
6949865114975669509,6925040330622454533,05/04/21,52,6363,252500,69,2176,252500
6937053162410970374,6925040330622454533,05/04/21,848,583600,11300000,392,41500,11300000
6940370016349031685,6925040330622454533,05/04/21,8,204500,12700000,256,4559,12700000
